NAME,Rarity Sum
Protardio #978,298.4
Protardio #561,298.40000000000003
Protardio #672,298.40000000000003
Protardio #944,298.40000000000003
Protardio #959,298.40000000000003
Protardio #967,298.50000000000006
Protardio #855,298.59999999999997
Protardio #928,298.6
Protardio #965,298.6
Protardio #966,298.70000000000005
Protardio #65,298.70000000000005
Protardio #255,298.8
Protardio #357,298.8
Protardio #375,298.80000000000007
Protardio #580,298.80000000000007
Protardio #95,298.8999999999999
Protardio #671,298.9
Protardio #277,298.90000000000003
Protardio #626,298.90000000000003
Protardio #756,299
Protardio #489,299.1
Protardio #711,299.1
Protardio #518,299.2
Protardio #830,299.2
Protardio #760,299.2
Protardio #327,299.20000000000005
Protardio #736,299.2999999999999
Protardio #525,299.29999999999995
Protardio #809,299.29999999999995
Protardio #937,299.3
Protardio #721,299.3
Protardio #72,299.3
Protardio #17,299.3
Protardio #839,299.4000000000001
Protardio #64,299.5
Protardio #388,299.5
Protardio #92,299.5
Protardio #878,299.50000000000006
Protardio #844,299.59999999999997
Protardio #775,299.59999999999997
Protardio #679,299.6
Protardio #458,299.69999999999993
Protardio #136,299.7
Protardio #633,299.70000000000005
Protardio #949,299.70000000000005
Protardio #104,299.79999999999995
Protardio #275,299.80000000000007
Protardio #502,299.80000000000007
Protardio #116,299.80000000000007
Protardio #200,299.9
Protardio #103,299.9
Protardio #890,299.99999999999994
Protardio #783,300.09999999999997
Protardio #392,300.2
Protardio #265,300.3
Protardio #387,300.3000000000001
Protardio #620,300.4
Protardio #515,300.40000000000003
Protardio #729,300.40000000000003
Protardio #35,300.40000000000003
Protardio #232,300.50000000000006
Protardio #370,300.5000000000001
Protardio #897,300.59999999999997
Protardio #470,300.6000000000001
Protardio #957,300.7
Protardio #992,300.80000000000007
Protardio #661,300.9
Protardio #630,300.9
Protardio #287,300.99999999999994
Protardio #807,301
Protardio #313,301.1
Protardio #982,301.1
Protardio #668,301.1
Protardio #705,301.2
Protardio #701,301.2
Protardio #895,301.20000000000005
Protardio #551,301.29999999999995
Protardio #548,301.4
Protardio #286,301.4
Protardio #291,301.4000000000001
Protardio #670,301.5
Protardio #516,301.5
Protardio #968,301.70000000000005
Protardio #616,301.8
Protardio #178,301.8
Protardio #869,301.9
Protardio #473,301.90000000000003
Protardio #177,301.99999999999994
Protardio #430,302
Protardio #887,302.09999999999997
Protardio #950,302.1
Protardio #888,302.20000000000005
Protardio #142,302.29999999999995
Protardio #248,302.29999999999995
Protardio #831,302.3
Protardio #253,302.4
Protardio #713,302.4
Protardio #931,302.4000000000001
Protardio #5,302.7
Protardio #402,302.8999999999999
Protardio #776,302.9000000000001
Protardio #16,303
Protardio #574,303.0000000000001
Protardio #330,303.1
Protardio #162,303.1
Protardio #706,303.1
Protardio #754,303.3
Protardio #621,303.40000000000003
Protardio #115,303.49999999999994
Protardio #652,303.5
Protardio #520,303.5
Protardio #757,303.59999999999997
Protardio #3,303.6
Protardio #912,303.6000000000001
Protardio #438,303.7
Protardio #229,303.7000000000001
Protardio #365,303.90000000000003
Protardio #683,304
Protardio #874,304
Protardio #33,304.09999999999997
Protardio #980,304.1
Protardio #782,304.19999999999993
Protardio #450,304.20000000000005
Protardio #429,304.20000000000005
Protardio #246,304.4
Protardio #916,304.50000000000006
Protardio #282,304.6000000000001
Protardio #472,304.7
Protardio #70,304.7
Protardio #237,304.70000000000005
Protardio #49,304.70000000000005
Protardio #147,304.8
Protardio #987,305.09999999999997
Protardio #336,305.2
Protardio #625,305.20000000000005
Protardio #546,305.3
Protardio #694,305.40000000000003
Protardio #132,305.5
Protardio #239,305.8
Protardio #133,306.09999999999997
Protardio #675,306.2000000000001
Protardio #997,306.5000000000001
Protardio #790,306.6
Protardio #656,307.20000000000005
Protardio #860,307.90000000000003
Protardio #283,309.0000000000001
Protardio #223,309.20000000000005
Protardio #687,309.6
Protardio #906,310.4
Protardio #808,310.9
Protardio #779,311.30000000000007
Protardio #915,312.9000000000001
Protardio #2,315.09999999999997
Protardio #533,321.00000000000006
Protardio #519,321.00000000000006
Protardio #276,325.50000000000006
Protardio #206,326.9
Protardio #810,327.3
Protardio #0,327.4
Protardio #461,327.40000000000003
Protardio #939,327.40000000000003
Protardio #281,328.20000000000005
Protardio #428,328.4000000000001
Protardio #453,328.80000000000007
Protardio #593,328.80000000000007
Protardio #693,329.20000000000005
Protardio #179,329.4
Protardio #317,329.4
Protardio #346,329.8
Protardio #57,329.90000000000003
Protardio #541,330.1
Protardio #219,331.80000000000007
Protardio #749,332.00000000000006
Protardio #575,332.00000000000006
Protardio #418,332.19999999999993
Protardio #864,332.80000000000007
Protardio #659,333.3
Protardio #216,333.80000000000007
Protardio #624,334.1
Protardio #766,334.30000000000007
Protardio #258,335.6
Protardio #765,335.6
Protardio #25,336
Protardio #440,336
Protardio #456,336.40000000000003
Protardio #399,336.5
Protardio #201,337.1000000000001
Protardio #471,337.19999999999993
Protardio #832,337.49999999999994
Protardio #886,337.5
Protardio #76,338.2
Protardio #150,338.3999999999999
Protardio #310,338.4
Protardio #439,338.6
Protardio #220,338.6
Protardio #646,338.6000000000001
Protardio #758,338.7
Protardio #929,338.9
Protardio #284,338.90000000000003
Protardio #74,339
Protardio #540,339.4
Protardio #689,339.5
Protardio #925,339.59999999999997
Protardio #96,339.69999999999993
Protardio #628,339.8
Protardio #658,339.80000000000007
Protardio #202,340.00000000000006
Protardio #207,340.00000000000006
Protardio #329,340.09999999999997
Protardio #192,340.1
Protardio #354,340.1000000000001
Protardio #602,340.3
Protardio #208,340.30000000000007
Protardio #613,340.5
Protardio #527,340.50000000000006
Protardio #118,340.59999999999997
Protardio #447,340.69999999999993
Protardio #22,340.70000000000005
Protardio #511,340.8
Protardio #685,340.80000000000007
Protardio #269,340.90000000000003
Protardio #238,340.9000000000001
Protardio #299,340.99999999999994
Protardio #260,341.09999999999997
Protardio #996,341.19999999999993
Protardio #348,341.2
Protardio #181,341.2
Protardio #26,341.20000000000005
Protardio #829,341.2000000000001
Protardio #448,341.3
Protardio #36,341.40000000000003
Protardio #11,341.4000000000001
Protardio #796,341.59999999999997
Protardio #998,341.6
Protardio #215,341.6
Protardio #582,341.79999999999995
Protardio #296,341.79999999999995
Protardio #506,342
Protardio #612,342
Protardio #876,342
Protardio #86,342.00000000000006
Protardio #723,342.1
Protardio #598,342.1
Protardio #866,342.19999999999993
Protardio #501,342.2
Protardio #639,342.20000000000005
Protardio #550,342.20000000000005
